taxi_group_name,driver_full_name,disabled,deleted,vehicle_brand,experience_group,awards,endurance_score,profitability_score,safety_adherence_score,efficiency_score,no_of_1_star_rating,no_of_2_star_rating,no_of_3_star_rating,no_of_4_star_rating,no_of_5_star_rating
"Walsh, Hammond and Craig",Bruce Marshall,0,1,7,6,0,0.666398,-0.252875,0.279009,1.89221,9,38,40,20,22
"Walsh, Hammond and Craig",Carol Holmes,0,0,9,4,0,-1.17785,-1.56046,-1.21152,-0.510155,8,16,28,43,39
"Walsh, Hammond and Craig",Jay Bailey,0,0,16,6,0,-0.557925,0.0833,0.596134,0.257793,5,12,25,39,26
"Walsh, Hammond and Craig",Aimee Smith,0,1,3,4,0,-0.787186,-0.484124,0.966867,0.54889,8,8,16,52,34
"Walsh, Hammond and Craig",Hayley Hall,0,0,14,1,0,0.518161,-0.108167,-0.0250766,-0.133834,22,32,53,16,13
"Walsh, Hammond and Craig",Kerry Howard,0,0,8,6,0,0.131069,0.406218,1.49431,0.0232333,3,7,10,54,48
"Walsh, Hammond and Craig",Max Harris,0,0,6,3,0,0.510684,1.3234,-0.183761,0.453363,18,22,48,31,23
"Walsh, Hammond and Craig",Melissa Lees,0,0,4,2,0,-0.599354,-1.13482,0.372642,-1.0565,18,41,62,-2,3
"Walsh, Hammond and Craig",Kathleen Wright,0,0,17,1,0,-0.95185,-0.952256,-0.29393,-0.773234,5,8,11,59,54
"Walsh, Hammond and Craig",Molly Nolan,0,0,16,6,0,-0.471395,0.866708,2.36356,-1.18976,15,29,35,14,19
"Walsh, Hammond and Craig",Iain Robinson,0,0,6,5,0,1.47939,-1.49279,0.952166,-0.432641,7,8,13,53,54
"Walsh, Hammond and Craig",Francesca Marshall,0,0,8,6,0,-1.09498,-0.234673,-0.770986,-0.957325,13,22,18,34,35
"Walsh, Hammond and Craig",Danielle Conway,0,0,12,1,0,-0.172301,-0.668474,-0.0301087,-0.976427,11,22,27,35,32
"Walsh, Hammond and Craig",Samantha Ford,0,0,16,3,0,-0.810578,0.141725,0.403568,-0.713073,14,21,39,30,32
"Walsh, Hammond and Craig",Jayne Owens,0,0,12,1,0,1.31653,0.486728,0.196453,0.66096,17,34,30,27,20
"Walsh, Hammond and Craig",Jack Brown,0,0,2,5,1,2.09664,1.50523,0.595271,0.891568,4,4,9,57,53
"Walsh, Hammond and Craig",Nigel Miller,0,0,12,2,0,0.760072,1.58457,-0.059443,-0.48774,18,22,45,13,7
"Walsh, Hammond and Craig",Toby Hurst,0,0,14,1,1,1.38697,0.971108,0.457073,2.10658,8,16,24,44,42
"Walsh, Hammond and Craig",Gordon Schofield,0,0,12,3,0,0.599151,-0.341394,-0.953207,-0.795317,20,47,48,10,7
"Walsh, Hammond and Craig",Anthony Taylor,0,0,17,2,0,0.988216,0.131879,0.451113,-1.04883,22,44,58,3,4
"Walsh, Hammond and Craig",Joyce Brown,0,0,6,6,0,0.310959,-0.012148,-0.0221489,2.01713,11,11,13,40,47
"Walsh, Hammond and Craig",Joanne Stanley,0,0,3,2,0,-1.94876,-1.29403,-1.92103,-0.356305,13,18,30,33,32
"Walsh, Hammond and Craig",Sophie Lewis,0,0,14,3,1,-0.844755,3.17932,-1.75984,2.83618,-3,4,3,44,55
"Walsh, Hammond and Craig",Philip Moore,1,0,11,3,0,0.426194,0.0147585,0.118939,0.377366,13,26,47,18,24
"Walsh, Hammond and Craig",Sian Murray,0,0,13,4,0,-1.06085,-0.913218,0.470886,-0.108217,13,30,38,13,19
"Walsh, Hammond and Craig",Katy Hall,0,0,15,4,0,-0.136477,1.40604,-0.990082,-0.41117,9,8,21,44,49
"Walsh, Hammond and Craig",Melissa Hayward,0,0,4,6,0,-1.07759,-1.29405,-1.16426,-0.839461,0,7,8,47,48
"Walsh, Hammond and Craig",Jessica Smith,0,0,8,3,0,-0.115113,2.7076,-0.0102504,0.141967,9,15,39,34,41
"Walsh, Hammond and Craig",Jodie Smith,0,0,6,2,0,0.344743,0.0617989,0.202185,1.0249,13,19,26,45,48
"Walsh, Hammond and Craig",Christine Hayward,0,0,14,3,0,-0.0583505,-0.456142,-0.193807,0.363225,20,35,46,15,17
"Walsh, Hammond and Craig",Dale Wallace,0,0,1,5,0,-1.19165,-0.530803,-1.08133,-0.115491,8,15,33,42,44
"Walsh, Hammond and Craig",Catherine Booth,0,0,0,5,0,-0.525944,-0.517893,0.438586,-0.814669,11,39,54,13,20
"Walsh, Hammond and Craig",Diane Woodward,0,0,12,1,0,-1.0941,-1.05655,-1.09273,-0.501378,0,2,2,62,48
"Walsh, Hammond and Craig",Gerald Reynolds,0,0,9,1,0,0.508585,0.681752,1.50811,0.488677,7,13,23,39,50
"Walsh, Hammond and Craig",Rosemary Barrett,0,0,17,5,0,-0.62861,-0.723101,-0.83686,-0.837852,5,25,34,28,45
"Walsh, Hammond and Craig",Alexandra Taylor,0,0,0,2,0,-0.661696,-0.376327,0.447982,-1.86857,2,15,35,43,29
"Walsh, Hammond and Craig",Wendy Gough,0,0,12,6,0,0.660241,-0.712408,0.108921,0.37995,18,20,32,18,26
"Walsh, Hammond and Craig",Marilyn Stevens,0,0,11,2,0,-1.01227,-0.72896,-0.897641,0.221621,19,26,31,17,20
"Walsh, Hammond and Craig",Martin Fitzgerald,0,0,9,5,0,0.290029,0.18566,-0.293379,-0.340447,10,29,35,25,20
"Walsh, Hammond and Craig",Christopher Davies,0,0,9,5,1,0.931569,0.399423,-0.00187336,1.44901,-1,10,5,48,56
"Walsh, Hammond and Craig",Ashley Mills,0,0,6,1,0,0.245567,1.65382,1.23384,1.03849,6,5,6,64,51
"Walsh, Hammond and Craig",Kenneth Carroll,0,0,4,6,0,-0.609618,-0.965762,-0.906336,-0.635073,21,37,59,22,16
"Walsh, Hammond and Craig",Rebecca Jordan,0,0,6,1,0,0.404215,0.23957,0.0760516,1.18225,9,19,26,38,25
"Walsh, Hammond and Craig",Phillip Benson,0,0,8,4,0,-0.286602,-0.528813,-0.500692,1.2813,3,-1,3,61,64
"Walsh, Hammond and Craig",Amanda Bryant,0,0,9,1,0,0.228657,-0.0696249,0.362733,-0.598831,22,39,42,11,14
"Walsh, Hammond and Craig",Joan Evans,0,0,11,6,0,1.02231,1.19728,3.48331,-1.46147,18,34,64,8,7
"Walsh, Hammond and Craig",Joel Ball,0,0,6,1,0,-0.766813,0.219108,-0.688528,0.764409,6,29,46,27,23
"Walsh, Hammond and Craig",Francis Morris,0,0,6,1,0,-1.15955,-1.15243,-0.985916,-0.0362518,11,20,41,23,30
Whitehead Inc,Jasmine Harper,0,0,0,1,0,-0.756186,-1.74067,-0.609684,-1.3174,16,32,51,8,10
Whitehead Inc,Patrick Moore,1,0,14,6,1,0.377408,0.92518,-0.463638,0.0816681,4,4,8,49,70
Whitehead Inc,Alex Jones,0,0,0,3,0,-0.452074,-0.960033,-0.157328,-0.140493,21,38,71,3,2
Whitehead Inc,Tracy Hughes,0,0,17,1,0,-0.474299,-0.433465,0.155576,-0.298964,17,33,47,8,13
Whitehead Inc,Chelsea Fox,0,0,6,5,0,0.216048,0.57112,-0.298085,1.09444,11,29,36,31,23
Whitehead Inc,Kenneth Burgess,0,0,6,3,0,0.349682,2.53338,0.217929,0.99773,10,11,27,37,43
Whitehead Inc,James Jones,0,0,17,1,0,2.32201,-0.491882,-0.516253,-0.0317324,3,26,32,18,19
Whitehead Inc,Rosemary Middleton,0,0,10,3,0,-0.670166,-0.292844,-0.856066,0.142771,16,29,52,26,13
Whitehead Inc,Kevin Miller,0,0,10,3,0,0.44535,0.567242,0.171715,1.14776,11,15,24,40,28
Whitehead Inc,Wayne Taylor,0,0,6,6,0,-0.302486,-0.839002,-0.422879,0.130188,7,10,24,37,41
Whitehead Inc,David Lynch,0,0,6,6,0,0.380959,0.122852,-0.189149,2.00213,9,9,13,44,51
Whitehead Inc,Joel Chapman,0,0,3,5,0,-0.560649,-0.0230149,-0.349467,1.15734,4,10,13,40,46
Whitehead Inc,Karen Mitchell,0,0,2,5,1,2.15579,1.17119,0.589752,0.9585,2,9,14,33,42
Whitehead Inc,Marc Jackson,0,0,16,2,0,-0.0854378,0.109604,2.16468,0.0277355,4,18,25,39,40
Whitehead Inc,Katherine Patterson,0,0,6,1,0,0.350567,1.65082,1.22884,1.00649,1,9,6,59,51
Whitehead Inc,Thomas Smith,0,0,1,2,0,0.310206,0.42707,-0.685323,0.988877,7,25,35,31,28
Whitehead Inc,Lynda Williams,0,0,14,3,1,-0.756343,-0.344008,2.82844,0.790513,0,5,3,70,52
Whitehead Inc,Clive Walker,0,0,17,1,0,-0.386299,-0.441465,0.269576,-0.442964,14,32,47,7,13
Whitehead Inc,Leanne West,0,0,17,1,0,-1.63767,0.898988,0.593463,-0.578455,15,16,31,29,31
Whitehead Inc,Stacey Green,0,0,0,3,0,-0.401593,0.321485,-0.866373,3.25026,15,30,44,20,11
Whitehead Inc,Peter Hussain,0,1,6,2,1,1.37485,1.59263,0.459886,0.771648,3,5,10,64,45
Whitehead Inc,Wayne Parker,0,0,0,1,0,0.0671387,0.954078,0.120993,1.21523,12,20,26,37,40
Whitehead Inc,Gareth Wright,0,1,6,6,0,0.307499,-0.392705,0.0396879,1.2227,10,18,24,40,27
Whitehead Inc,June Taylor,0,0,0,5,0,-0.807871,-1.24108,0.278124,-1.53301,2,12,14,66,50
Whitehead Inc,Sara Pritchard,0,0,16,5,1,0.912629,0.311991,1.76532,1.34801,4,10,18,42,60
Whitehead Inc,Kevin Osborne,0,0,11,6,0,0.949314,1.16528,3.50131,-1.32447,21,32,67,6,4
Whitehead Inc,Ashleigh Hopkins,0,0,17,2,0,-1.43844,-0.408758,-1.24038,-0.0891126,22,37,51,15,11
Whitehead Inc,Derek Lee,0,0,1,5,0,-0.44821,0.855437,-0.462991,1.17461,12,20,30,34,31
Whitehead Inc,Jemma Edwards,0,0,6,1,0,0.335469,0.768114,0.132399,1.06373,-1,6,14,64,52
Whitehead Inc,Roger Taylor,0,1,13,6,0,-0.169378,-0.190666,0.554084,-0.886837,16,36,56,4,6
Whitehead Inc,Dennis Chapman,0,0,12,5,0,-0.296721,0.0262393,-0.384387,-0.0472877,20,30,56,24,17
Whitehead Inc,Glen Holden,0,1,12,3,0,0.291096,-0.204474,-0.446812,1.15569,14,19,34,12,18
Whitehead Inc,Rebecca Ball,0,0,9,1,0,0.373958,0.16936,0.388204,0.368884,9,27,38,14,29
Whitehead Inc,Joyce Norris,0,0,17,3,0,1.14352,0.245269,1.8519,-0.551673,10,35,45,20,16
Whitehead Inc,Billy Roberts,0,0,17,1,0,-0.888996,-0.419915,-0.461734,-0.25784,1,10,28,44,34
Whitehead Inc,Brett Pollard,0,0,3,1,1,0.818484,0.404519,0.257931,1.05294,9,12,25,44,48
"Fletcher, Gallagher and Blake",Sharon Davis,0,0,5,4,0,-1.13718,-0.331039,-1.04127,-0.354446,8,9,21,42,37
"Fletcher, Gallagher and Blake",Dylan Richardson,0,0,15,3,0,-0.17633,-1.24948,0.081926,-1.60232,11,11,32,36,33
"Fletcher, Gallagher and Blake",Kerry Robinson,0,0,17,5,0,0.821709,-0.242185,0.561586,1.46025,4,11,12,43,57
"Fletcher, Gallagher and Blake",Tony Cox,0,0,17,2,0,-0.700714,-0.507635,-0.394349,-0.881616,1,10,8,46,52
"Fletcher, Gallagher and Blake",Raymond Smith,0,0,12,2,0,1.16617,-0.958769,-0.858478,-0.0393319,6,24,41,15,17
"Fletcher, Gallagher and Blake",Alex Davies,0,0,1,3,0,0.0927845,0.378396,-0.140077,-0.0163648,14,35,40,7,20
"Fletcher, Gallagher and Blake",Jessica Baxter,0,0,10,5,0,-0.407679,0.252844,-1.06563,0.0323567,-1,4,9,57,44
"Fletcher, Gallagher and Blake",Maurice Jones,0,0,17,6,0,-1.02264,-0.796408,-1.17982,0.116549,-1,11,7,49,52
"Fletcher, Gallagher and Blake",Carly White,0,0,17,3,0,-0.291791,1.25485,0.316124,-0.548433,24,35,73,12,11
"Fletcher, Gallagher and Blake",Ellie Donnelly,0,0,10,3,0,0.38535,0.615242,0.140715,1.08976,12,19,25,41,27
"Fletcher, Gallagher and Blake",Charles Dyer,0,1,6,1,0,-0.239889,0.574348,-0.0847773,1.23302,7,10,15,62,25
"Fletcher, Gallagher and Blake",Nicola Wright,0,0,2,4,0,1.6071,2.76846,1.22534,0.891133,6,10,16,44,53
